Country,Year,Life_expectancy_at_birth,Expected_years_of_schooling,Average_of_years_of_schooling,GNI_per_capita_PPP,life_expectancy_index,Education_Index,GNI_Index,HDI_1,HDI_calculated,HDI_3,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,social_support,cpi_score
Zimbabwe,2018,61.2,10.45,8.34,2661.07,0.63,0.58,0.5,0.56,0.57,0.56,3.692,0.357,0.0,0.248,0.406,0.132,0.099,0.0,Africa,1.094,22
Zimbabwe,2017,60.812,10.3,8.2,2860.0,0.63,0.57,0.51,0.55,0.57,0.54,3.663,0.366,0.0,0.433,0.361,0.151,0.089,0.0,Africa,1.114,22
Zimbabwe,2016,60.294,10.3,8.2,2570.0,0.62,0.57,0.49,0.55,0.56,0.53,4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079,2.44191,Africa,0.0,22
Zimbabwe,2015,59.534,10.3,8.2,2410.0,0.61,0.57,0.48,0.54,0.55,0.53,3.875,0.375846535,1.083095908,0.196763754,0.336384207,0.189143494,0.095375381,1.597970247,Africa,0.0,21
Zambia,2018,63.51,12.06,7.1,3581.89,0.67,0.6,0.54,0.59,0.6,0.59,4.377,0.562,0.0,0.295,0.503,0.221,0.082,0.0,Africa,1.047,35
Zambia,2017,63.043,12.5,7.0,3330.0,0.66,0.61,0.53,0.59,0.6,0.59,4.107,0.578,0.0,0.426,0.431,0.247,0.087,0.0,Africa,1.058,37
Zambia,2016,62.464,12.5,7.0,3330.0,0.65,0.61,0.53,0.58,0.6,0.59,5.129,0.47038,0.91612,0.29924,0.48827,0.19591,0.12468,2.6343,Africa,0.0,38
Zambia,2015,61.737,12.5,6.9,3370.0,0.64,0.61,0.53,0.57,0.59,0.58,4.513999939,0.636406779,1.003187299,0.257835895,0.461603492,0.249580145,0.07821355,1.826705456,Africa,0.0,38
Yemen,2018,66.1,8.66,3.2,1433.3,0.71,0.38,0.4,0.46,0.48,0.46,3.355,0.442,0.0,0.343,0.244,0.083,0.064,0.0,Asia,1.073,14
Yemen,2016,66.087,9.0,3.0,,0.71,0.38,,0.48,,0.46,4.077,0.54649,0.68093,0.40064,0.35571,0.09131,0.07854,1.92313,Asia,0.0,14
Yemen,2017,66.086,9.0,3.0,,0.71,0.38,,0.46,,0.45,3.38,0.287,0.0,0.463,0.143,0.108,0.077,0.0,Asia,1.163,16
Yemen,2015,66.085,9.0,3.0,,0.71,0.38,,0.49,,0.48,3.592999935,0.591683447,0.935382247,0.310080916,0.249463722,0.104125209,0.056767423,1.345600605,Asia,0.0,18
