Country,Education_Index,government_trust,cpi_score,gdp_per_capita,freedom,happiness_score,health,continent
Afghanistan,0.45,0.0548,14.25,0.3508,0.1063,3.551,0.275,Asia
Afghanistan,0.45,0.0548,14.25,0.3508,0.1063,3.551,0.275,Asia
Afghanistan,0.45,0.0548,14.25,0.3508,0.1063,3.551,0.275,Asia
Afghanistan,0.45,0.0548,14.25,0.3508,0.1063,3.551,0.275,Asia
Albania,0.7725,0.0407,37.25,0.9345,0.3852,4.727,0.8021,Europe
Albania,0.7725,0.0407,37.25,0.9345,0.3852,4.727,0.8021,Europe
Albania,0.7725,0.0407,37.25,0.9345,0.3852,4.727,0.8021,Europe
Albania,0.7725,0.0407,37.25,0.9345,0.3852,4.727,0.8021,Europe
Algeria,0.7025,0.1422,34.5,1.003,0.1705,5.4958,0.6768,Africa
Algeria,0.7025,0.1422,34.5,1.003,0.1705,5.4958,0.6768,Africa
Algeria,0.7025,0.1422,34.5,1.003,0.1705,5.4958,0.6768,Africa
Algeria,0.7025,0.1422,34.5,1.003,0.1705,5.4958,0.6768,Africa
Argentina,0.8625,0.0621,36.75,1.101,0.4963,6.4117,0.7768,South America
Argentina,0.8625,0.0621,36.75,1.101,0.4963,6.4117,0.7768,South America
Argentina,0.8625,0.0621,36.75,1.101,0.4963,6.4117,0.7768,South America
Argentina,0.8625,0.0621,36.75,1.101,0.4963,6.4117,0.7768,South America
Armenia,0.7625,0.0394,34.5,0.8337,0.2349,4.4015,0.7121,Asia
Armenia,0.7625,0.0394,34.5,0.8337,0.2349,4.4015,0.7121,Asia
Armenia,0.7625,0.0394,34.5,0.8337,0.2349,4.4015,0.7121,Asia
Armenia,0.7625,0.0394,34.5,0.8337,0.2349,4.4015,0.7121,Asia
Australia,1.0225,0.3124,78.0,1.3825,0.6142,7.267,0.9304,Australia
Australia,1.0225,0.3124,78.0,1.3825,0.6142,7.267,0.9304,Australia
Australia,1.0225,0.3124,78.0,1.3825,0.6142,7.267,0.9304,Australia
Australia,1.0225,0.3124,78.0,1.3825,0.6142,7.267,0.9304,Australia
Austria,0.875,0.2145,75.5,1.3853,0.5853,7.1478,0.9032,Europe
Austria,0.875,0.2145,75.5,1.3853,0.5853,7.1478,0.9032,Europe
Austria,0.875,0.2145,75.5,1.3853,0.5853,7.1478,0.9032,Europe
Austria,0.875,0.2145,75.5,1.3853,0.5853,7.1478,0.9032,Europe
Azerbaijan,0.715,0.1749,28.75,1.0611,0.3874,5.2138,0.6383,Asia
Azerbaijan,0.715,0.1749,28.75,1.0611,0.3874,5.2138,0.6383,Asia
Azerbaijan,0.715,0.1749,28.75,1.0611,0.3874,5.2138,0.6383,Asia
Azerbaijan,0.715,0.1749,28.75,1.0611,0.3874,5.2138,0.6383,Asia
Bahrain,0.775,0.199,41.5,1.378,0.5304,6.0877,0.7423,Asia
Bahrain,0.775,0.199,41.5,1.378,0.5304,6.0877,0.7423,Asia
Bahrain,0.775,0.199,41.5,1.378,0.5304,6.0877,0.7423,Asia
Bahrain,0.775,0.199,41.5,1.378,0.5304,6.0877,0.7423,Asia
Bangladesh,0.53,0.1341,26.25,0.5196,0.4984,4.5645,0.6092,Asia
Bangladesh,0.53,0.1341,26.25,0.5196,0.4984,4.5645,0.6092,Asia
Bangladesh,0.53,0.1341,26.25,0.5196,0.4984,4.5645,0.6092,Asia
Bangladesh,0.53,0.1341,26.25,0.5196,0.4984,4.5645,0.6092,Asia
Belarus,0.8575,0.1608,40.0,1.0736,0.3042,5.547,0.7157,Europe
Belarus,0.8575,0.1608,40.0,1.0736,0.3042,5.547,0.7157,Europe
Belarus,0.8575,0.1608,40.0,1.0736,0.3042,5.547,0.7157,Europe
Belarus,0.8575,0.1608,40.0,1.0736,0.3042,5.547,0.7157,Europe
Belgium,0.9875,0.2317,76.0,1.3629,0.5451,6.9195,0.8987,Europe
Belgium,0.9875,0.2317,76.0,1.3629,0.5451,6.9195,0.8987,Europe
Belgium,0.9875,0.2317,76.0,1.3629,0.5451,6.9195,0.8987,Europe
Belgium,0.9875,0.2317,76.0,1.3629,0.5451,6.9195,0.8987,Europe
Benin,0.5225,0.0725,38.0,0.3722,0.4249,4.0053,0.2915,Africa
Benin,0.5225,0.0725,38.0,0.3722,0.4249,4.0053,0.2915,Africa
Benin,0.5225,0.0725,38.0,0.3722,0.4249,4.0053,0.2915,Africa
Benin,0.5225,0.0725,38.0,0.3722,0.4249,4.0053,0.2915,Africa
Bolivia,0.71,0.0666,32.25,0.7605,0.5625,5.811,0.5567,South America
Bolivia,0.71,0.0666,32.25,0.7605,0.5625,5.811,0.5567,South America
Bolivia,0.71,0.0666,32.25,0.7605,0.5625,5.811,0.5567,South America
Bolivia,0.71,0.0666,32.25,0.7605,0.5625,5.811,0.5567,South America
Bosnia and Herzegovina,0.7325,0.0021,38.25,0.9187,0.1972,5.1615,0.7747,Europe
Bosnia and Herzegovina,0.7325,0.0021,38.25,0.9187,0.1972,5.1615,0.7747,Europe
Bosnia and Herzegovina,0.7325,0.0021,38.25,0.9187,0.1972,5.1615,0.7747,Europe
Bosnia and Herzegovina,0.7325,0.0021,38.25,0.9187,0.1972,5.1615,0.7747,Europe
Botswana,0.68,0.1038,61.25,1.0434,0.503,3.794,0.3361,Africa
Botswana,0.68,0.1038,61.25,1.0434,0.503,3.794,0.3361,Africa
Botswana,0.68,0.1038,61.25,1.0434,0.503,3.794,0.3361,Africa
Botswana,0.68,0.1038,61.25,1.0434,0.503,3.794,0.3361,Africa
Brazil,0.7275,0.1151,37.5,1.0196,0.4527,6.5843,0.6976,South America
Brazil,0.7275,0.1151,37.5,1.0196,0.4527,6.5843,0.6976,South America
Brazil,0.7275,0.1151,37.5,1.0196,0.4527,6.5843,0.6976,South America
Brazil,0.7275,0.1151,37.5,1.0196,0.4527,6.5843,0.6976,South America
Bulgaria,0.8225,0.0082,41.75,1.0799,0.3163,4.719,0.7504,Europe
Bulgaria,0.8225,0.0082,41.75,1.0799,0.3163,4.719,0.7504,Europe
Bulgaria,0.8225,0.0082,41.75,1.0799,0.3163,4.719,0.7504,Europe
Bulgaria,0.8225,0.0082,41.75,1.0799,0.3163,4.719,0.7504,Europe
Burkina Faso,0.33,0.1224,40.75,0.3133,0.3216,4.1575,0.2803,Africa
Burkina Faso,0.33,0.1224,40.75,0.3133,0.3216,4.1575,0.2803,Africa
Burkina Faso,0.33,0.1224,40.75,0.3133,0.3216,4.1575,0.2803,Africa
Burkina Faso,0.33,0.1224,40.75,0.3133,0.3216,4.1575,0.2803,Africa
Burundi,0.4675,0.1102,20.0,0.061,0.1159,3.1225,0.2251,Africa
Burundi,0.4675,0.1102,20.0,0.061,0.1159,3.1225,0.2251,Africa
Burundi,0.4675,0.1102,20.0,0.061,0.1159,3.1225,0.2251,Africa
Burundi,0.4675,0.1102,20.0,0.061,0.1159,3.1225,0.2251,Africa
Cambodia,0.5175,0.0669,20.75,0.5463,0.6502,4.28,0.5337,Asia
Cambodia,0.5175,0.0669,20.75,0.5463,0.6502,4.28,0.5337,Asia
Cambodia,0.5175,0.0669,20.75,0.5463,0.6502,4.28,0.5337,Asia
Cambodia,0.5175,0.0669,20.75,0.5463,0.6502,4.28,0.5337,Asia
Cameroon,0.585,0.0473,25.75,0.5177,0.4396,4.7415,0.22,Africa
Cameroon,0.585,0.0473,25.75,0.5177,0.4396,4.7415,0.22,Africa
Cameroon,0.585,0.0473,25.75,0.5177,0.4396,4.7415,0.22,Africa
Cameroon,0.585,0.0473,25.75,0.5177,0.4396,4.7415,0.22,Africa
Canada,0.9125,0.304,82.0,1.3751,0.6203,7.3372,0.9188,North America
Canada,0.9125,0.304,82.0,1.3751,0.6203,7.3372,0.9188,North America
Canada,0.9125,0.304,82.0,1.3751,0.6203,7.3372,0.9188,North America
Canada,0.9125,0.304,82.0,1.3751,0.6203,7.3372,0.9188,North America
Chad,0.3275,0.0611,20.25,0.372,0.1901,4.0635,0.1091,Africa
Chad,0.3275,0.0611,20.25,0.372,0.1901,4.0635,0.1091,Africa
Chad,0.3275,0.0611,20.25,0.372,0.1901,4.0635,0.1091,Africa
Chad,0.3275,0.0611,20.25,0.372,0.1901,4.0635,0.1091,Africa
Chile,0.8325,0.082,67.5,1.1625,0.4016,6.5605,0.8515,South America
Chile,0.8325,0.082,67.5,1.1625,0.4016,6.5605,0.8515,South America
Chile,0.8325,0.082,67.5,1.1625,0.4016,6.5605,0.8515,South America
Chile,0.8325,0.082,67.5,1.1625,0.4016,6.5605,0.8515,South America
China,0.7025,0.0634,39.25,0.9973,0.5269,5.2125,0.8125,Asia
China,0.7025,0.0634,39.25,0.9973,0.5269,5.2125,0.8125,Asia
China,0.7025,0.0634,39.25,0.9973,0.5269,5.2125,0.8125,Asia
China,0.7025,0.0634,39.25,0.9973,0.5269,5.2125,0.8125,Asia
